Instance,datetime,WS,WD,FireScenario
CHI2015,19-01-2014 5:00,9.72,180,1
CHI2015,19-01-2014 6:00,4.68,202,1
CHI2015,19-01-2014 7:00,6.48,180,1
CHI2015,19-01-2014 8:00,3.24,157,1
CHI2015,19-01-2014 9:00,4.68,135,1
CHI2015,19-01-2014 10:00,4.68,337,1
CHI2015,19-01-2014 11:00,7.92,337,1
CHI2015,19-01-2014 12:00,11.16,337,1
CHI2015,19-01-2014 13:00,11.16,337,1
CHI2015,19-01-2014 14:00,12.96,337,1
CHI2015,19-01-2014 15:00,11.16,315,1
CHI2015,19-01-2014 16:00,12.96,337,1
CHI2015,19-01-2014 17:00,12.96,337,1
CHI2015,19-01-2014 18:00,11.16,315,1
CHI2015,19-01-2014 19:00,11.16,315,1
CHI2015,19-01-2014 20:00,12.96,315,1
CHI2015,19-01-2014 21:00,11.16,337,1
CHI2015,19-01-2014 22:00,9.72,337,1
CHI2015,19-01-2014 23:00,7.92,315,1
CHI2015,20-01-2014 0:00,4.68,337,1
CHI2015,20-01-2014 1:00,3.24,337,1
CHI2015,20-01-2014 2:00,4.68,270,1
CHI2015,20-01-2014 3:00,6.48,157,1
CHI2015,20-01-2014 4:00,4.68,135,1
CHI2015,20-01-2014 5:00,6.48,315,1
CHI2015,20-01-2014 6:00,6.48,315,1
CHI2015,20-01-2014 7:00,6.48,315,1
CHI2015,20-01-2014 8:00,6.48,337,1
CHI2015,20-01-2014 9:00,6.48,337,1
CHI2015,20-01-2014 10:00,4.68,337,1
CHI2015,20-01-2014 11:00,11.16,337,1
CHI2015,20-01-2014 12:00,11.16,292,1
CHI2015,20-01-2014 13:00,12.96,292,1
CHI2015,20-01-2014 14:00,12.96,292,1
CHI2015,20-01-2014 15:00,7.92,292,1
CHI2015,20-01-2014 16:00,12.96,315,1
CHI2015,20-01-2014 17:00,14.4,315,1
CHI2015,20-01-2014 18:00,7.92,315,1
CHI2015,20-01-2014 19:00,6.48,337,1
CHI2015,20-01-2014 20:00,4.68,337,1
CHI2015,20-01-2014 21:00,4.68,180,1
CHI2015,20-01-2014 22:00,6.48,315,1
CHI2015,20-01-2014 23:00,9.72,315,1
CHI2015,21-01-2014 0:00,9.72,315,1
CHI2015,21-01-2014 1:00,6.48,202,1
CHI2015,21-01-2014 2:00,16.2,315,1
CHI2015,21-01-2014 3:00,14.4,270,1
CHI2015,21-01-2014 4:00,17.64,270,1
CHI2015,21-01-2014 5:00,12.96,270,1
CHI2015,21-01-2014 6:00,14.4,292,1
CHI2015,21-01-2014 7:00,12.96,315,1
CHI2015,21-01-2014 8:00,14.4,315,1
CHI2015,21-01-2014 9:00,16.2,315,1
CHI2015,21-01-2014 10:00,16.2,337,1
CHI2015,21-01-2014 11:00,16.2,315,1
CHI2015,21-01-2014 12:00,11.16,292,1
CHI2015,21-01-2014 13:00,19.44,292,1
CHI2015,21-01-2014 14:00,16.2,292,1
CHI2015,21-01-2014 15:00,14.4,270,1
CHI2015,21-01-2014 16:00,16.2,292,1
CHI2015,21-01-2014 17:00,16.2,292,1
CHI2015,21-01-2014 18:00,14.4,292,1
CHI2015,21-01-2014 19:00,16.2,292,1
CHI2015,21-01-2014 20:00,14.4,315,1
CHI2015,21-01-2014 21:00,14.4,315,1
CHI2015,21-01-2014 22:00,12.96,315,1
CHI2015,21-01-2014 23:00,14.4,315,1
CHI2015,22-01-2014 0:00,17.64,292,1
CHI2015,22-01-2014 1:00,17.64,270,1
CHI2015,22-01-2014 2:00,16.2,270,1
CHI2015,22-01-2014 3:00,16.2,270,1
CHI2015,22-01-2014 4:00,16.2,270,1
CHI2015,22-01-2014 5:00,16.2,247,1
CHI2015,22-01-2014 6:00,11.16,225,1
CHI2015,22-01-2014 7:00,12.96,337,1
CHI2015,22-01-2014 8:00,7.92,315,1
CHI2015,22-01-2014 9:00,9.72,292,1
CHI2015,22-01-2014 10:00,6.48,315,1
