Instance,datetime,WS,WD,FireScenario
CHI2015,30-01-2014 12:00,9.91384615384615,267.769230769231,1
CHI2015,30-01-2014 13:00,10.1630769230769,281.615384615385,1
CHI2015,30-01-2014 14:00,10.4123076923077,295.461538461538,1
CHI2015,30-01-2014 15:00,10.6615384615385,309.307692307692,1
CHI2015,30-01-2014 16:00,10.9107692307692,323.153846153846,1
CHI2015,30-01-2014 17:00,11.16,337,1
CHI2015,30-01-2014 18:00,6.48,315,1
CHI2015,30-01-2014 19:00,7.92,337,1
CHI2015,30-01-2014 20:00,9.72,337,1
CHI2015,30-01-2014 21:00,7.92,315,1
CHI2015,30-01-2014 22:00,7.92,337,1
CHI2015,30-01-2014 23:00,7.92,337,1
CHI2015,31-01-2014 0:00,19.44,270,1
CHI2015,31-01-2014 1:00,19.44,292,1
CHI2015,31-01-2014 2:00,16.2,292,1
CHI2015,31-01-2014 3:00,16.2,292,1
CHI2015,31-01-2014 4:00,15.96,285.571428571429,1
CHI2015,31-01-2014 5:00,15.72,279.142857142857,1
CHI2015,31-01-2014 6:00,15.48,272.714285714286,1
CHI2015,31-01-2014 7:00,15.24,266.285714285714,1
CHI2015,31-01-2014 8:00,15,259.857142857143,1
CHI2015,31-01-2014 9:00,14.76,253.428571428571,1
CHI2015,31-01-2014 10:00,14.52,247,1
CHI2015,31-01-2014 11:00,14.28,240.571428571429,1
CHI2015,31-01-2014 12:00,14.04,234.142857142857,1
CHI2015,31-01-2014 13:00,13.8,227.714285714286,1
CHI2015,31-01-2014 14:00,13.56,221.285714285714,1
CHI2015,31-01-2014 15:00,13.32,214.857142857143,1
CHI2015,31-01-2014 16:00,13.08,208.428571428571,1
CHI2015,31-01-2014 17:00,12.84,202,1
CHI2015,31-01-2014 18:00,12.6,195.571428571429,1
CHI2015,31-01-2014 19:00,12.36,189.142857142857,1
CHI2015,31-01-2014 20:00,12.12,182.714285714286,1
CHI2015,31-01-2014 21:00,11.88,176.285714285714,1
CHI2015,31-01-2014 22:00,11.64,169.857142857143,1
CHI2015,31-01-2014 23:00,11.4,163.428571428571,1
CHI2015,01-02-2014 0:00,11.16,157,1
CHI2015,01-02-2014 1:00,11.16,180,1
CHI2015,01-02-2014 2:00,9.72,180,1
CHI2015,01-02-2014 3:00,11.16,180,1
CHI2015,01-02-2014 4:00,9.72,157,1
CHI2015,01-02-2014 5:00,9.72,157,1
CHI2015,01-02-2014 6:00,9.72,135,1
CHI2015,01-02-2014 7:00,9.72,157,1
CHI2015,01-02-2014 8:00,6.48,180,1
CHI2015,01-02-2014 9:00,4.68,180,1
CHI2015,01-02-2014 10:00,4.68,337,1
CHI2015,01-02-2014 11:00,12.96,315,1
CHI2015,01-02-2014 12:00,12.96,337,1
CHI2015,01-02-2014 13:00,12.96,315,1
CHI2015,01-02-2014 14:00,16.2,315,1
CHI2015,01-02-2014 15:00,19.44,337,1
CHI2015,01-02-2014 16:00,19.44,315,1
CHI2015,01-02-2014 17:00,16.2,315,1
